310,51,18,33
325,101,18,29
329,125,17,27
340,165,16,25
325,196,21,21
320,242,21,18
313,297,20,15
316,330,20,13
327,391,19,07
478,127,07,30
460,138,06,27
456,183,07,25
463,231,07,23
465,234,07,19
447,270,04,16
388,303,10,14
340,316,17,13
293,322,22,13
372,173,13,25
359,196,13,23
298,182,20,25
349,82,16,32
251,216,23,21
384,133,13,28
284,241,21,19
333,100,17,30
384,286,13,17
350,132,15,28
338,223,17,21
410,204,09,24
340,344,16,13
278,261,21,17
358,207,13,21
290,158,19,25
347,104,15,30
388,206,10,24
388,124,12,28
313,139,16,27
353,113,14,29
269,186,21,24
325,83,16,32
388,154,10,27
322,131,17,28
372,235,14,20
337,129,15,28
298,153,17,26
377,237,14,19
